Artist Name(s);Album Name;Album Release Date;Track duration (s);Explicit;Popularity;Artist Genres;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Label;Copyrights;;;
Run–D,M,C,, Jason Nevins;The Greatest Hits;10/09/2002;250,626;0;68;east coast hip hop,golden age hip hop,hip hop,old school hip hop,queens hip hop,rap;0,852;0,874;7;-11,208;1;0,0427;0,0168;0,45;0,133;0,666;129,029;4;Arista;P (P) 2003 BMG UK & Ireland Ltd;;;0,250626
3 Doors Down;Away From The Sun;12/11/2002;238,733;0;80;alternative metal,nu metal,post-grunge,rock;0,557;0,533;10;-6,817;0;0,0252;0,0492;0;0,205;0,233;143,994;4;Universal Records;C © 2002 Universal Records, a Division of UMG Recordings, Inc,, P ? 2002 Universal Motown Records, a division of UMG Recordings, Inc,;;;0,238733
The Monkees;The Best of The Monkees;01/01/2003;149,106;0;31;album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop;0,26;0,659;2;-8,98;1;0,0625;0,114;0,0000295;0,499;0,537;184,38;4;Rhino;C © 2003 Warner Strategic Marketing, Warner Music Group, an AOL Time Warner Co,, P ? 2003 Warner Strategic Marketing, Warner Music Group, an AOL Time Warner Co,;;;0,149106
Wings;London Town;31/03/1978;344,773;0;0;album rock,beatlesque,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock;0,652;0,372;6;-15,445;0;0,0321;0,069;0,000197;0,0923;0,283;111,984;4;Paul McCartney Catalog;C © 1978 MPL Communications Inc/Ltd, P ? 1993 MPL Communications Inc/Ltd;;;0,344773
Ed Sheeran;x (Deluxe Edition);21/06/2014;235,382;0;73;pop,singer-songwriter pop,uk pop;0,818;0,67;8;-4,451;0;0,0472;0,304;0,00000122;0,0601;0,939;119,988;4;Atlantic Records UK;C © 2014 Asylum Records UK, a Warner Music UK Company, P ? 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros, Entertainment Inc, and Metro-Goldwyn-Mayer Pictures Inc,;;;0,235382
Pussycat;First Of All;01/01/1976;273,8;0;58;nederpop;0,605;0,731;10;-9,327;1;0,0358;0,24;0,000459;0,257;0,638;123,332;4;Universal Music, a division of Universal International Music BV;C © 2001 Universal International Music B,V,, P ? 2001 Universal International Music B,V,;;;0,2738
Nathaniel;Yours;01/01/2016;185,266;0;5;australian pop,australian talent show;0,813;0,754;4;-3,911;0;0,0494;0,166;0;0,121;0,923;112,962;4;DNA Songs/Sony Music Entertainment;P (P) 2015 DNA Songs/ Sony Music Entertainment Australia Pty Ltd,;;;0,185266
Buzz Clifford;Rock & Roll 50s & 60s Mix;01/10/2016;122,958;0;6;;0,483;0,533;6;-9,883;1;0,145;0,805;0;0,161;0,878;140,11;4;Rock Miramike;C 2016 Rock Miramike, P 2016 Rock Miramike;;;0,122958
Tina Charles;Dance Little Lady;20/03/2012;189,32;0;15;disco,hi-nrg;0,736;0,563;2;-13,837;1;0,0312;0,0165;0;0,166;0,96;102,021;4;Dressed 2 Kill - OMP;C 2012 One Media Publishing;;;0,18932
Glee Cast, Gwyneth Paltrow;Landslide (Glee Cast Version) (feat, Gwyneth Paltrow);08/03/2011;226,76;0;0;glee club,post-teen pop;0,637;0,416;2;-7,595;1;0,0269;0,434;0;0,139;0,588;145,922;4;Columbia;P (P) 2011 Twentieth Century Fox Film Corporation;;;0,22676
The Soup Dragons, Junior Reid;20 Golden Greats;01/01/2012;211,693;0;0;britpop,c86,madchester,scottish indie,lovers rock,old school dancehall,reggae,reggae fusion,roots reggae;0,648;0,936;7;-5,968;1;0,0797;0,0981;0,0000224;0,0712;0,856;103,272;4;Universal Music Group;C © 2012 Mercury Records Limited, P ? 2012 Mercury Records Limited;;;0,211693
Sam Smith;Writing's On The Wall;25/09/2015;278,987;0;68;pop,uk pop;0,261;0,302;5;-8,19;0;0,0339;0,769;0,00000257;0,0863;0,0883;81,418;3;Capitol;C © 2015 Capitol Records, a division of Universal Music Operations Limited, P ? 2015 Capitol Records, a division of Universal Music Operations Limited;;;0,278987
Suzi Quatro;If You Knew Suzi… (2017 Remaster);12/08/1978;232,994;0;0;glam rock;0,667;0,66;9;-8,819;1;0,0348;0,117;0,000854;0,0707;0,905;133,867;4;Chrysalis Records;C 1978 Chrysalis Records Limited, P 2017 Chrysalis Records Limited;;;0,232994
Troye Sivan;Take Yourself Home;01/04/2020;249,369;0;0;australian pop,pop,viral pop;0,364;0,606;5;-9,188;0;0,0831;0,0748;0,000322;0,106;0,289;99,73;4;EMI Recorded Music Australia Pty Ltd;"C © 2020 Universal Music Australia Pty Ltd,, P An EMI Recorded Music Australia Production; ? 2020 Universal Music Australia Pty Ltd,";;;0,249369
KC & The Sunshine Band;All In a Night's Work (Expanded Version);11/03/2016;254,24;0;73;disco,mellow gold,new wave pop,soft rock,soul;0,862;0,624;3;-11,63;1;0,0565;0,0192;0,000153;0,0465;0,882;124,896;4;Epic/Legacy;P This compilation (P) 2015 Epic Records, a division of Sony Music Entertainment;;;0,25424
Hey Monday;Hold On Tight;07/10/2008;238,733;0;47;candy pop,neon pop punk,pixie,pop emo,pop punk;0,393;0,958;2;-2,102;1;0,0871;0,00966;0;0,214;0,323;150,074;4;Decaydance/Columbia;P (P) 2008 SONY BMG MUSIC ENTERTAINMENT;;;0,238733
P!nk;La Guestlist;19/10/2009;203,933;0;24;dance pop,pop;0,789;0,84;11;-4,059;0;0,0361;0,00616;0;0,0646;0,821;103,957;4;SME Strategic Marketing Group;P (P) 2009 Sony Music Entertainment;;;0,203933
Ariana Grande;Dangerous Woman;20/05/2016;235,946;0;0;pop;0,677;0,604;7;-5,32;1;0,0385;0,0612;0;0,353;0,297;134,052;3;Universal Music Group;C © 2016 Republic Records, a division of UMG Recordings, Inc,, P ? 2016 Republic Records, a division of UMG Recordings, Inc,;;;0,235946
Marty Wilde;The Full Marty;01/01/2010;168;0;33;brill building pop,merseybeat,rock-and-roll;0,609;0,895;11;-8,208;1;0,0695;0,162;0,504;0,522;0,792;123,102;4;UMC (Universal Music Catalogue);C © 2010 Mercury Records Limited, P This Compilation ? 2010 Mercury Records Limited;;;0,168
Brenda Lee;Ultimate Collection, Vol, 1;06/03/2015;145,48;0;9;adult standards,easy listening,lounge,rockabilly;0,587;0,65;1;-5,732;1;0,0283;0,381;0,00000101;0,105;0,96;98,137;4;10TEN MEDIA;C 2015 10TEN MEDIA, P 2015 10TEN MEDIA;;;0,14548
Deni Hines;Delicious;01/01/2002;213,36;0;44;australian dance,australian pop;0,66;0,88;11;-5,338;1;0,0375;0,0808;0,00000348;0,15;0,862;103,395;4;WM Australia;C © 2002 Mushroom Records, P ? 2002 Mushroom Records;;;0,21336
T, Rex;The Slider;21/07/1972;149,786;0;50;classic rock,glam rock,protopunk,rock;0,307;0,95;11;-3,427;0;0,138;0,00054;0,0000743;0,313;0,524;127,895;4;Edsel;C (C) 2007 Demon Music Group Ltd,;;;0,149786
Belinda Carlisle;Greatest Vol,1 - Belinda Carlisle;01/01/1987;246,52;0;74;new romantic,new wave pop,soft rock;0,64;0,852;1;-8,119;0;0,0345;0,0243;0,00000182;0,0497;0,793;122,902;4;Crimson;C (C) 2013 Demon Music Group Ltd,, P (P) 1987 Artist Management Services Ltd,;;;0,24652
John Mellencamp;The Lonesome Jubilee (Remastered);01/01/1987;231,2;0;0;album rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock;0,607;0,905;4;-4,748;1;0,0426;0,00122;0,000261;0,0624;0,533;141,985;4;Universal Music Group;C © 2005 John Mellencamp, under exclusive license to the Island Def Jam Music Group, P ? 2005 John Mellencamp, under exclusive license to the Island Def Jam Music Group;;;0,2312
Miley Cyrus;Wrecking Ball;25/08/2013;223,24;0;0;pop;0,466;0,403;5;-6,142;1;0,0337;0,395;0;0,111;0,337;119,81;4;RCA Records Label;P (P) 2013 RCA Records, a division of Sony Music Entertainment;;;0,22324
Birdy;Beautiful Lies (Deluxe);25/03/2016;208,84;0;35;neo mellow,uk pop;0,455;0,296;2;-8,513;1;0,0399;0,761;0;0,0783;0,31;171,744;4;Atlantic Records UK;C © 2016 Jasmine Van Den Bogaerde under exclusive licence to Atlantic Records UK, a Warner Music Group company, P ? 2016 Jasmine Van Den Bogaerde under exclusive licence to Atlantic Records UK, a Warner Music Group company;;;0,20884
Zedd, Hayley Williams;Clarity (Deluxe);01/01/2014;217,346;0;67;complextro,edm,german techno,pop,pop dance,art pop;0,596;0,738;8;-3,109;1;0,0411;0,109;0;0,0947;0,461;127,961;4;Interscope;C © 2014 Interscope Records, P ? 2014 Interscope Records;;;0,217346
Red Hot Chili Peppers;Californication;08/06/1999;329,733;0;63;alternative rock,funk metal,funk rock,permanent wave,rock;0,592;0,767;9;-2,788;0;0,027;0,0021;0,00165;0,127;0,328;96,483;4;Warner Records;C © 1999 Warner Records Inc,, P ? 1999 Warner Records Inc,;;;0,329733
Queen;News Of The World (2011 Remaster);28/10/1977;122,066;0;82;classic rock,glam rock,rock;0,692;0,497;2;-7,316;1;0,119;0,676;0;0,259;0,475;81,308;4;EMI;C © 2011 Queen Productions Ltd, under exclusive licence to Universal International Music BV, P ? 2011 Queen Productions Ltd, under exclusive licence to Universal International Music BV;;;0,122066
Warumpi Band;Go Bush!;03/04/1987;297,8;0;47;australian indigenous,australian rock;0,488;0,364;7;-15,954;1;0,0321;0,0714;0;0,0756;0,544;79,707;4;WM Australia;C © 1987 The Warumpi Band, P ? 1987 The Warumpi Band;;;0,2978
Craig David;Born to Do It;14/08/2000;235,133;0;74;british soul;0,659;0,812;4;-7,499;0;0,0487;0,23;0;0,0951;0,888;83,014;4;Sony Music UK;P (P) 2001 Wildstar Records Limited, licensed exclusively to Sony Music Entertainment UK Limited;;;0,235133
Monte Video;Monte Video;01/12/1983;159,184;0;28;;0,706;0,695;2;-10,526;1;0,411;0,226;0;0,0496;0,972;181,337;4;WM New Zealand;C © 1983 Mushroom Records New Zealand, P ? 1983 Mushroom Records New Zealand;;;0,159184
Jarryd James, Julia Stone;Thirty One;11/09/2015;273,493;0;30;australian alternative pop,australian r&b,australian singer-songwriter;0,672;0,393;9;-8,739;0;0,0477;0,551;0,0000105;0,105;0,319;130,086;4;Universal Music Australia (Distribution);C © 2015 Dryden Street Ltd, P ? 2015 Dryden Street Ltd;;;0,273493
C,W, McCall;C,W, McCall's Greatest Hits;01/01/1990;230,6;0;64;classic country pop,country rock,truck-driving country;0,68;0,543;5;-14,876;1;0,141;0,857;0,000116;0,0881;0,796;111,62;4;Island Mercury;C © 1990 UMG Recordings, Inc,, P This Compilation ? 1990 UMG Recordings, Inc,;;;0,2306
Manfred Mann;Pretty Flamingo;01/01/1966;150,106;0;0;british blues,british invasion,classic rock,singer-songwriter;0,553;0,594;7;-9,03;1;0,0279;0,114;0;0,743;0,841;113,506;4;East Central One;C 1966 East Central One Limited, P 1966 East Central One Limited;;;0,150106
Amy Winehouse;Back To Black;01/01/2006;256,946;0;0;british soul,neo soul;0,705;0,806;9;-3,607;1;0,0309;0,0132;0,00428;0,0701;0,734;103,383;4;Universal Music Group;C © 2006 Universal Island Records Ltd, A Universal Music Company,, P ? 2006 Universal Island Records Ltd, A Universal Music Company,;;;0,256946
Conor Maynard, Ne-Yo;Turn Around (feat, Ne-Yo);05/10/2012;232,385;0;31;post-teen pop,uk pop,viral pop,dance pop,pop,r&b,urban contemporary;0,59;0,874;6;-2,583;0;0,0263;0,0179;0,00000646;0,134;0,607;125,018;4;Parlophone UK;C © 2012 Parlophone Records Ltd, a Warner Music Group Company, P ? 2012 Parlophone Records Ltd, a Warner Music Group Company;;;0,232385
Timbaland;Shock Value II (International Deluxe version);01/01/2009;231,96;0;0;dance pop,pop,pop rap;0,734;0,927;8;-4,244;0;0,042;0,076;0,00134;0,0465;0,901;118,039;4;Universal Music Group;C © 2009 Blackground Records/Interscope Records, P ? 2009 Blackground Records/Interscope Records;;;0,23196
Gotye, Kimbra;Making Mirrors;01/01/2011;244,893;0;67;australian pop,bergen indie,electropop,nz pop;0,864;0,515;0;-6,967;1;0,0367;0,571;0,0000792;0,0947;0,755;129,048;4;Universal Music Australia Pty, Ltd,;C © 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company, Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license, P ? 2011 Samples 'n' Seconds Records, under exclusive license to Eleven: A Music Company, Distributed in Australia by Universal Music Australia Pty Ltd under exclusive license;;;0,244893
Yusuf / Cat Stevens;Matthew & Son;10/03/1967;161,84;0;0;british folk,classic rock,folk,folk rock,mellow gold,singer-songwriter;0,534;0,327;4;-16,789;1;0,0335;0,0503;0,00213;0,281;0,767;139,867;4;Decca Music Group Ltd,;C © 1988 Decca Music Group Limited, P This Compilation ? 1988 Decca Music Group Limited;;;0,16184
The Easybeats;Friday On My Mind;01/01/1967;162,106;0;11;australian rock,british blues,freakbeat,protopunk,psychedelic rock;0,483;0,676;9;-10,271;1;0,0323;0,505;0,0000632;0,297;0,502;116,418;4;Albert Productions;C © 1967 BMG AM Pty Ltd,, P ? 1967 BMG AM Pty Ltd,;;;0,162106
Stevie Wonder;Number 1's;01/01/2007;177,306;0;0;motown,soul;0,471;0,574;11;-11,266;1;0,0509;0,802;0,00000255;0,0931;0,661;131,892;4;Universal Strategic Marketing;C © 2007 Motown Records, a Division of UMG Recordings, Inc,, P ? 2007 Motown Records, a Division of UMG Recordings, Inc,;;;0,177306
Sam Smith;The Thrill Of It All (Special Edition);03/11/2017;201;0;87;pop,uk pop;0,681;0,372;5;-8,237;1;0,0432;0,64;0;0,169;0,476;91,873;4;Capitol;C © 2017 Universal Music Operations Limited, P ? 2017 Universal Music Operations Limited;;;0,201
Petula Clark;The Classic Collection;01/01/1997;143,834;0;22;adult standards,bubblegum pop,easy listening,folk rock,merseybeat,rock-and-roll,rockabilly;0,485;0,721;5;-7,84;0;0,0348;0,479;0;0,67;0,88;136,892;4;Sanctuary Budget;C © 1997 Sanctuary Records Group Ltd,, a BMG Company, P ? 1997 Sanctuary Records Group Ltd,, a BMG Company;;;0,143834
Eminem;Relapse: Refill;15/05/2009;269,613;0;66;detroit hip hop,hip hop,rap;0,924;0,853;2;-1,203;1;0,0792;0,107;0,00000145;0,129;0,67;114,003;4;Aftermath;C © 2009 Aftermath Records, P ? 2009 Aftermath Records;;;0,269613
Sugababes;Angels With Dirty Faces (International version);01/01/2002;237,053;0;0;dance pop,europop,girl group,talent show;0,735;0,859;6;-3,845;0;0,0346;0,00289;0,00000395;0,111;0,758;126,587;4;Island Records;C © 2002 Universal Island Records Ltd, A Universal Music Company,, P ? 2002 Universal Island Records Ltd, A Universal Music Company,;;;0,237053
Zay Hilfigerrr, Zayion McCall;Juju on That Beat (TZ Anthem);30/09/2016;144,244;0;61;viral trap;0,807;0,887;1;-3,892;1;0,275;0,00381;0;0,391;0,78;160,517;4;Tha Lights Global, INC/Atlantic Recording Corp;C © 2016 Tha Lights Global, INC / Atlantic Recording Corporation, P ? 2016 Tha Lights Global, INC / Atlantic Recording Corporation;;;0,144244
Lady Gaga;The Fame;01/01/2008;237,2;0;0;art pop,dance pop,pop;0,851;0,806;4;-4,618;1;0,0786;0,12;0,00000133;0,121;0,776;119,001;4;Streamline/Interscope;C © 2008 Interscope Records, P ? 2008 Interscope Records;;;0,2372
Madness;7;02/10/1981;206,266;0;58;britpop,new wave,ska,ska revival;0,536;0,606;7;-5,364;1;0,0355;0,103;0,0000108;0,255;0,719;146,425;4;Salvo;C © 2010 Stirling Holdings Ltd,, under exclusive license to Union Square Music Limited, a BMG Company, P ? 2010 Stirling Holdings Ltd,, under exclusive license to Union Square Music Limited, a BMG Company;;;0,206266
Dr, Hook;Timeless;17/04/2015;266,669;0;19;country rock,mellow gold,soft rock;0,448;0,312;1;-14,926;1;0,0552;0,84;0,0000038;0,0848;0,403;158,27;3;Universal Music Australia Pty, Ltd,;C © 2015 Universal Music Australia Pty Ltd,, P This Compilation ? 2015 Universal Music Australia Pty Ltd,;;;0,266669
Joe Jones;You Talk Too Much - The Best Of;01/07/2010;152,706;0;13;novelty;0,719;0,639;8;-9,229;1;0,0376;0,797;0,0000143;0,075;0,727;128,272;1;Brownbeats Records;C (C) 2010 Goldenlane Records, P (P) 2010 Goldenlane Records;;;0,152706
Smash Mouth;All Star Smash Hits;01/01/2005;151,106;0;0;pop rock,post-grunge;0,662;0,891;6;-4,65;1;0,0291;0,0128;0;0,448;0,823;123,728;4;Universal Music Group;C © 2005 Interscope Records, P ? 2005 Interscope Records;;;0,151106
Jordie Ireland, Ava Hayz;One In A Million;04/05/2018;178,424;0;27;;0,748;0,551;5;-5,772;1;0,0907;0,327;0,0000143;0,096;0,334;104,175;4;Universal Music Australia Pty, Ltd,;C © 2018 Jordie Ireland, under exclusive license to Universal Music Australia, P ? 2018 Jordie Ireland, under exclusive license to Universal Music Australia;;;0,178424
Tom Cochrane;Mad Mad World;01/01/1992;266,56;0;65;canadian singer-songwriter,classic canadian rock,mellow gold;0,683;0,751;5;-10,184;1;0,0346;0,0681;0,00000836;0,248;0,841;103,036;4;EMI Music Canada;C © 1991 EMI Music Canada, P ? 1991 EMI Music Canada;;;0,26656
Dua Lipa;Dua Lipa (Deluxe);02/06/2017;217,946;1;83;dance pop,pop,uk pop;0,836;0,544;7;-5,975;1;0,0943;0,0403;0;0,0824;0,51;97,028;4;Warner Records;C © 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited, P ? 2017 Dua Lipa Limited under exclusive license to Warner Music UK Limited, Tracks 3, 6, 7, 8, 9, 13, 14 (P) 2016 Warner Music UK Limited, Tracks 4, 15, 17 (P) 2015 Warner Music UK Limited,;;;0,217946
Backstreet Boys;Backstreet's Back;09/10/1997;221,106;0;0;boy band,dance pop,pop;0,804;0,801;0;-4,892;1;0,0305;0,275;0,0000329;0,215;0,826;98,12;4;Jive;P (P) 1997 Zomba Recording LLC;;;0,221106
Selena Gomez;Stars Dance;01/01/2013;231,986;0;0;pop,post-teen pop;0,349;0,795;7;-4,133;0;0,0758;0,0102;0,000138;0,0812;0,542;148,985;1;Universal Music;C © 2013 Hollywood Records, Inc,, P ? 2013 Hollywood Records, Inc,;;;0,231986
Sean Paul;The Trinity;26/09/2005;218,573;0;84;dance pop,dancehall,pop,pop rap;0,951;0,6;0;-4,675;0;0,0685;0,106;0;0,0712;0,822;125,04;4;Atlantic Records;C © 2005 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,, P ? 2005 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States,;;;0,218573
Elton John;Captain Fantastic (Deluxe Edition);19/05/1975;321,933;0;0;glam rock,mellow gold,piano rock,rock;0,702;0,626;0;-8,448;0;0,0298;0,0744;0,00002;0,072;0,799;125,199;4;Universal Strategic Marketing;C © 2005 This Record Company Ltd,, P ? 2005 This Record Company Ltd, Manufactured by the Island Def Jam Music Group;;;0,321933
Flo Rida, Akon;Only One Flo (Part 1);24/11/2010;200,88;0;60;dance pop,miami hip hop,pop,pop rap,dance pop;0,719;0,616;1;-3,951;1;0,0395;0,00683;0,0000311;0,0742;0,625;124,963;4;Poe Boy/Atlantic;C © 2010 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States, P ? 2010 Atlantic Recording Corporation for the United States and WEA International Inc, for the world outside of the United States;;;0,20088
Kasey Chambers;Storybook;23/09/2011;225,96;0;0;australian americana,australian country,australian rock;0,704;0,247;0;-8,736;1;0,0297;0,64;0,00000172;0,085;0,236;86,952;4;Bloodlines;C 2011 Bloodlines, P 2011 Bloodlines;;;0,22596
P,M, Dawn;Let It Flow;23/04/1999;211,661;0;52;contemporary r&b;0,737;0,784;7;-7,902;1;0,0777;0,00682;0,2;0,537;0,587;99,773;4;Grm Game;C 1999 Grm Game, P 1999 Grm Game;;;0,211661
Swedish House Mafia, John Martin;Until Now;01/01/2012;403,493;0;65;edm,pop dance,progressive electro house,pop edm;0,632;0,88;2;-4,051;1;0,0463;0,0144;0,0021;0,118;0,338;129,007;4;Virgin Records;C © 2012 EMI Records Ltd, P ? 2012 EMI Records Ltd;;;0,403493
Vanessa Williams;Pocahontas Original Soundtrack (English Version);01/01/1995;257,933;0;54;contemporary r&b,quiet storm,urban contemporary;0,574;0,238;7;-18,072;0;0,0476;0,365;0,0000132;0,126;0,126;84,018;4;EMI Gold;C © 1995 Disney / Disney Enterprises Inc, P This Compilation ? 1995 Buena Vista Pictures Distribution Inc;;;0,257933
Labrinth, Emeli Sandé;Electronic Earth (Expanded Edition);02/04/2012;271,813;0;72;indie poptimism,pop,r&b,talent show;0,561;0,522;2;-5,857;1;0,0318;0,227;0;0,104;0,238;83,962;4;Syco Music UK;P (P) 2012 Simco Limited under exclusive license to Sony Music Entertainment UK Limited;;;0,271813
The Beach Boys;Pet Sounds (Original Mono & Stereo Mix);16/06/1966;153,205;0;73;baroque pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop;0,392;0,629;5;-7,056;1;0,0335;0,718;0,00000376;0,129;0,72;124,511;4;Capitol Records;C © 2001 Capitol Records, LLC, P ? 2001 Capitol Records, LLC;;;0,153205
Sia;Together;20/05/2020;205,207;0;64;australian dance,australian pop,pop;0,521;0,877;7;-5,444;1;0,0683;0,0132;0,0806;0,0929;0,199;180,007;4;Monkey Puzzle/Atlantic;C © 2020 Monkey Puzzle Music, Inc,, under exclusive license to Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,, P ? 2020 Monkey Puzzle Music, Inc,, under exclusive license to Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,;;;0,205207
Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer;Sweat (Snoop Dogg Vs, David Guetta) [Remix];01/01/2011;195,986;0;73;g funk,gangster rap,hip hop,pop rap,rap,west coast rap,big room,dance pop,edm,pop,pop dance;0,813;0,732;7;-5,636;1;0,03;0,0597;0,00137;0,0826;0,731;130,02;4;Capitol Records;C © 2011 Capitol Records, LLC, P ? 2011 Capitol Records, LLC;;;0,195986
Spandau Ballet;1 - The Digital E,P,;25/04/2008;329,146;0;73;new romantic,new wave,new wave pop,sophisti-pop,synthpop;0,742;0,533;0;-9,098;1;0,0288;0,459;0,148;0,064;0,391;97,395;4;Parlophone UK;C © 2008 Parlophone Records Ltd, a Warner Music Group Company, P ? 2008 Parlophone Records Ltd, a Warner Music Group Company;;;0,329146
Ed Sheeran;x (Deluxe Edition);21/06/2014;252,76;0;64;pop,singer-songwriter pop,uk pop;0,464;0,321;2;-11,12;1;0,0418;0,877;0;0,0789;0,306;93,528;4;Atlantic Records UK;C © 2014 Asylum Records UK, a Warner Music UK Company, P ? 2014 Asylum Records UK, a Warner Music UK Company, except track 16 2013 Warner Bros, Entertainment Inc, and Metro-Goldwyn-Mayer Pictures Inc,;;;0,25276
Zedd, Alessia Cara;Stay;23/02/2017;210,09;0;79;complextro,edm,german techno,pop,pop dance,canadian contemporary r&b,canadian pop,pop;0,69;0,622;5;-5,025;0;0,0622;0,253;0;0,116;0,544;102,04;4;UMGRI Interscope;C © 2017 Interscope Records, P ? 2017 Interscope Records;;;0,21009
Olly Murs;In Case You Didn't Know;28/11/2011;184,013;0;43;dance pop,pop,talent show;0,638;0,803;8;-5,467;0;0,0681;0,0244;0;0,169;0,756;128,035;4;Epic;P (P) 2011 Sony Music Entertainment UK Limited;;;0,184013
David Guetta, Sia;Nothing but the Beat;31/08/2011;245,04;0;63;big room,dance pop,edm,pop,pop dance,australian dance,australian pop,pop;0,604;0,788;0;-3,673;0;0,103;0,0678;0,153;0,127;0,301;126,06;4;Parlophone (France);C © 2011 What A Music Ltd, Licence exclusive Parlophone Music France, P ? 2011 What A Music Ltd, Licence exclusive Parlophone Music France;;;0,24504
David Jones;David Jones;01/01/1965;136,293;0;7;;0,617;0,658;0;-9,223;1;0,0512;0,494;0;0,293;0,949;128,363;4;Rhino;C © 1965 Rhino Entertainment Company,, P ? 2011 Rhino Entertainment Company, A Warner Music Group Company,;;;0,136293
